# Valores esperados de observables
# Columnas:
# paso  <x>  <p>  <Ec>  <V>  <Etotal>
# 
2.550000000000000000e+02 1.759039886022834764e+02 9.791719655010254764e-01 1.896785587058585243e+00 1.034908335123502360e-01 2.000276420570935354e+00
2.600000000000000000e+02 1.768852572263469085e+02 9.776653945964084436e-01 1.889232403435943786e+00 1.110440171349863503e-01 2.000276420570930025e+00
2.650000000000000000e+02 1.778649792799347154e+02 9.760878688286775962e-01 1.881323942757100021e+00 1.189524778138243560e-01 2.000276420570924252e+00
2.700000000000000000e+02 1.788430836371275632e+02 9.744396126080998588e-01 1.873061169723084785e+00 1.272152508478342214e-01 2.000276420570918923e+00
2.750000000000000000e+02 1.798194998134121079e+02 9.727215931483943478e-01 1.864445903306823471e+00 1.358305172640899561e-01 2.000276420570913594e+00
2.800000000000000000e+02 1.807941583289679386e+02 9.709347165175121752e-01 1.855481288399632556e+00 1.447951321712751538e-01 2.000276420570907820e+00
2.850000000000000000e+02 1.817669903700148950e+02 9.690794172462339207e-01 1.846172710934575356e+00 1.541037096363273018e-01 2.000276420570902491e+00
2.900000000000000000e+02 1.827379275375484724e+02 9.671562247607670137e-01 1.836527328352705934e+00 1.637490922181913111e-01 2.000276420570897162e+00
2.950000000000000000e+02 1.837069023477798453e+02 9.651665179023496410e-01 1.826552868274253560e+00 1.737235522966386059e-01 2.000276420570892277e+00
3.000000000000000000e+02 1.846738491577987702e+02 9.631125430961703371e-01 1.816257923055429879e+00 1.840184975154574298e-01 2.000276420570887392e+00
3.050000000000000000e+02 1.856387048010997773e+02 9.609969246079972383e-01 1.805653779890041388e+00 1.946226406808407583e-01 2.000276420570882063e+00
3.100000000000000000e+02 1.866014088466183978e+02 9.588224967982965641e-01 1.794755155062858654e+00 2.055212655080184969e-01 2.000276420570877178e+00
3.150000000000000000e+02 1.875619039177321952e+02 9.565925319087044132e-01 1.783578441322423380e+00 2.166979792484481082e-01 2.000276420570871405e+00
3.200000000000000000e+02 1.885201361443493795e+02 9.543106949158322028e-01 1.772139668177049154e+00 2.281367523938174768e-01 2.000276420570866520e+00
3.250000000000000000e+02 1.894760553221435373e+02 9.519805632573822285e-01 1.760454928094211668e+00 2.398214924766499112e-01 2.000276420570861635e+00
3.300000000000000000e+02 1.904296146706365107e+02 9.496054242618441332e-01 1.748542574327053956e+00 2.517338462438030167e-01 2.000276420570856750e+00
3.350000000000000000e+02 1.913807707603507993e+02 9.471887890010217692e-01 1.736424068274721622e+00 2.638523522961306322e-01 2.000276420570852309e+00
3.400000000000000000e+02 1.923294840673574129e+02 9.447349741224952968e-01 1.724122407846748306e+00 2.761540127240990072e-01 2.000276420570847424e+00
3.450000000000000000e+02 1.932757197561284102e+02 9.422489186368002700e-01 1.711660430414438716e+00 2.886159901564041563e-01 2.000276420570842983e+00
3.500000000000000000e+02 1.942194479577099457e+02 9.397354959770929383e-01 1.699061089773655331e+00 3.012153307971833782e-01 2.000276420570838543e+00
3.550000000000000000e+02 1.951606435415619671e+02 9.371993227839686691e-01 1.686348722600983674e+00 3.139276979698500392e-01 2.000276420570833658e+00
3.600000000000000000e+02 1.960992861030716767e+02 9.346453110956279842e-01 1.673549128553210696e+00 3.267272920176186313e-01 2.000276420570829217e+00
3.650000000000000000e+02 1.970353605182818342e+02 9.320790795158082620e-01 1.660688454690638416e+00 3.395879658801864154e-01 2.000276420570824776e+00
3.700000000000000000e+02 1.979688574987358152e+02 9.295065221597664795e-01 1.647792691405735699e+00 3.524837291650844695e-01 2.000276420570820335e+00
3.750000000000000000e+02 1.988997734701965499e+02 9.269330458997804278e-01 1.634888291281472616e+00 3.653881292893431665e-01 2.000276420570815894e+00
3.800000000000000000e+02 1.998281099480804812e+02 9.243634361765948881e-01 1.622002389277856560e+00 3.782740312929544491e-01 2.000276420570811009e+00
3.850000000000000000e+02 2.007538731594824810e+02 9.218024042238698312e-01 1.609161749470051195e+00 3.911146711007560950e-01 2.000276420570807456e+00
3.900000000000000000e+02 2.016770742122067759e+02 9.192549994668405278e-01 1.596391808734634488e+00 4.038846118361683613e-01 2.000276420570803015e+00
