# Probabilidades en los detectores
# Columnas:
# paso  PI  PD
# 
5.300000000000000000e+01 5.592669898329120232e-02 3.816017620347881029e-33
5.400000000000000000e+01 5.491077640611216615e-02 4.260905554851655577e-33
5.500000000000000000e+01 5.390948856452050519e-02 4.757242760321713200e-33
5.600000000000000000e+01 5.292270600943351638e-02 5.310930228212944991e-33
5.700000000000000000e+01 5.195029879439286291e-02 5.928540090216618610e-33
5.800000000000000000e+01 5.099213651462415620e-02 6.617391295579822816e-33
5.900000000000000000e+01 5.004808834567846254e-02 7.385633747054319748e-33
6.000000000000000000e+01 4.911802308164595759e-02 8.242341832452624913e-33
6.100000000000000000e+01 4.820180917293239581e-02 9.197618391629171493e-33
6.200000000000000000e+01 4.729931476358963105e-02 1.026271027272602858e-32
6.300000000000000000e+01 4.641040772819117477e-02 1.145013675792977188e-32
6.400000000000000000e+01 4.553495570824485361e-02 1.277383227911142026e-32
6.500000000000000000e+01 4.467282614813451735e-02 1.424930499903903658e-32
6.600000000000000000e+01 4.382388633058328931e-02 1.589381300599365042e-32
6.700000000000000000e+01 4.298800341163085820e-02 1.772656006038909524e-32
6.800000000000000000e+01 4.216504445511838617e-02 1.976891304339037219e-32
6.900000000000000000e+01 4.135487646667416334e-02 2.204464349175238805e-32
7.000000000000000000e+01 4.055736642719380558e-02 2.458019586260270844e-32
7.100000000000000000e+01 3.977238132580947216e-02 2.740498545937010835e-32
7.200000000000000000e+01 3.899978819234221905e-02 3.055172926850068771e-32
7.300000000000000000e+01 3.823945412923252657e-02 3.405681330930803267e-32
7.400000000000000000e+01 3.749124634294413727e-02 3.796070048992382581e-32
7.500000000000000000e+01 3.675503217483674923e-02 4.230838339488640920e-32
7.600000000000000000e+01 3.603067913150320017e-02 4.714988690888845637e-32
7.700000000000000000e+01 3.531805491456766616e-02 5.254082611153095774e-32
7.800000000000000000e+01 3.461702744994094028e-02 5.854302546505049863e-32
7.900000000000000000e+01 3.392746491652995355e-02 6.522520596691922351e-32
8.000000000000000000e+01 3.324923577439847788e-02 7.266374765861893445e-32
8.100000000000000000e+01 3.258220879237642281e-02 8.094353567811211684e-32
8.200000000000000000e+01 3.192625307511572780e-02 9.015889892469458058e-32
8.300000000000000000e+01 3.128123808959056007e-02 1.004146513799910542e-31
8.400000000000000000e+01 3.064703369104045810e-02 1.118272472077524779e-31
8.500000000000000000e+01 3.002351014835501208e-02 1.245260619487797417e-31
8.600000000000000000e+01 2.941053816889894687e-02 1.386548134478155645e-31
8.700000000000000000e+01 2.880798892277699683e-02 1.543731376099660313e-31
8.800000000000000000e+01 2.821573406653800353e-02 1.718583356998641304e-31
8.900000000000000000e+01 2.763364576631814618e-02 1.913073116836469067e-31
9.000000000000000000e+01 2.706159672042335665e-02 2.129387200898346200e-31
9.100000000000000000e+01 2.649946018135121428e-02 2.369953470502129777e-31
9.200000000000000000e+01 2.594710997725314591e-02 2.637467495976872990e-31
9.300000000000000000e+01 2.540442053283763907e-02 2.934921809689722604e-31
9.400000000000000000e+01 2.487126688971577279e-02 3.265638326125232652e-31
9.500000000000000000e+01 2.434752472619036365e-02 3.633304268657308206e-31
9.600000000000000000e+01 2.383307037649045473e-02 4.042011978725052445e-31
9.700000000000000000e+01 2.332778084945303504e-02 4.496303022987766690e-31
9.800000000000000000e+01 2.283153384665416799e-02 5.001217058085942521e-31
9.900000000000000000e+01 2.234420777999174615e-02 5.562345961309688639e-31
1.000000000000000000e+02 2.186568178872268231e-02 6.185893789253869507e-31
1.010000000000000000e+02 2.139583575595719114e-02 6.878743185949843371e-31
1.020000000000000000e+02 2.093455032461325957e-02 7.648528927591154534e-31
1.030000000000000000e+02 2.048170691283456024e-02 8.503719363458298232e-31
1.040000000000000000e+02 2.003718772887516653e-02 9.453706592706122532e-31
1.050000000000000000e+02 1.960087578545483683e-02 1.050890630508853102e-30
1.060000000000000000e+02 1.917265491358859444e-02 1.168086831132158215e-30
1.070000000000000000e+02 1.875240977589467603e-02 1.298239889657853251e-30
1.080000000000000000e+02 1.834002587938507456e-02 1.442769624961619855e-30
1.090000000000000000e+02 1.793538958774295103e-02 1.603250035140603188e-30
1.100000000000000000e+02 1.753838813309160569e-02 1.781425885215705638e-30
1.110000000000000000e+02 1.714890962725962656e-02 1.979231062567294924e-30
1.120000000000000000e+02 1.676684307254704479e-02 2.198808886662614508e-30
1.130000000000000000e+02 1.639207837199770437e-02 2.442534579125802208e-30
1.140000000000000000e+02 1.602450633918273484e-02 2.713040121709944596e-30
1.150000000000000000e+02 1.566401870750072645e-02 3.013241753461334524e-30
1.160000000000000000e+02 1.531050813899980170e-02 3.346370384546159603e-30
1.170000000000000000e+02 1.496386823272736338e-02 3.716005233089476516e-30
1.180000000000000000e+02 1.462399353261306136e-02 4.126111023230862687e-30
1.190000000000000000e+02 1.429077953489084861e-02 4.581079117733838963e-30
1.200000000000000000e+02 1.396412269506612687e-02 5.085772997230787815e-30
1.210000000000000000e+02 1.364392043443384689e-02 5.645578540909074418e-30
1.220000000000000000e+02 1.333007114615389864e-02 6.266459610551799665e-30
1.230000000000000000e+02 1.302247420088988375e-02 6.955019491782926819e-30
1.240000000000000000e+02 1.272102995201761233e-02 7.718568803621387174e-30
1.250000000000000000e+02 1.242563974040981900e-02 8.565200550560727786e-30
1.260000000000000000e+02 1.213620589880345935e-02 9.503873060952823670e-30
1.270000000000000000e+02 1.185263175575626549e-02 1.054450163213824338e-29
1.280000000000000000e+02 1.157482163919910760e-02 1.169805978724930606e-29
1.290000000000000000e+02 1.130268087959091818e-02 1.297669114170383305e-29
1.300000000000000000e+02 1.103611581268286977e-02 1.439383297997543049e-29
1.310000000000000000e+02 1.077503378189870881e-02 1.596435275622444056e-29
1.320000000000000000e+02 1.051934314033798473e-02 1.770469885685155825e-29
1.330000000000000000e+02 1.026895325240918810e-02 1.963306710014651492e-29
1.340000000000000000e+02 1.002377449509967572e-02 2.176958459921682511e-29
1.350000000000000000e+02 9.783718258889359878e-03 2.413651278068837284e-29
1.360000000000000000e+02 9.548696948315220367e-03 2.675847153480504673e-29
1.370000000000000000e+02 9.318623982193584981e-03 2.966268667420154934e-29
1.380000000000000000e+02 9.093413793507323928e-03 3.287926310063241310e-29
1.390000000000000000e+02 8.872981828964943835e-03 3.644148632334657484e-29
1.400000000000000000e+02 8.657244548238735363e-03 4.038615524183315102e-29
1.410000000000000000e+02 8.446119422888984443e-03 4.475394940178648907e-29
1.420000000000000000e+02 8.239524934981421952e-03 4.958983425904394351e-29
1.430000000000000000e+02 8.037380575404932254e-03 5.494350834490034080e-29
1.440000000000000000e+02 7.839606841896646847e-03 6.086989662085193761e-29
1.450000000000000000e+02 7.646125236781489524e-03 6.742969474504521862e-29
1.460000000000000000e+02 7.456858264433224685e-03 7.468996945042274698e-29
1.470000000000000000e+02 7.271729428464083871e-03 8.272482076008192934e-29
1.480000000000000000e+02 7.090663228649985751e-03 9.161611234342014702e-29
1.490000000000000000e+02 6.913585157598337028e-03 1.014542769524274941e-28
1.500000000000000000e+02 6.740421697165419924e-03 1.123392045767052272e-28
1.510000000000000000e+02 6.571100314630314715e-03 1.243812217246912399e-28
1.520000000000000000e+02 6.405549458632237188e-03 1.377021710840329400e-28
1.530000000000000000e+02 6.243698554878208268e-03 1.524366017435973312e-28
1.540000000000000000e+02 6.085478001627872384e-03 1.687330811815170860e-28
1.550000000000000000e+02 5.930819164962259499e-03 1.867556413470175614e-28
1.560000000000000000e+02 5.779654373843254485e-03 2.066853723985003292e-28
1.570000000000000000e+02 5.631916914970442126e-03 2.287221790174050362e-28
1.580000000000000000e+02 5.487541027442021171e-03 2.530867157086981005e-28
1.590000000000000000e+02 5.346461897226336898e-03 2.800225191375941827e-28
1.600000000000000000e+02 5.208615651450607641e-03 3.097983573527048117e-28
1.610000000000000000e+02 5.073939352513294997e-03 3.427108177240314528e-28
1.620000000000000000e+02 4.942370992026553535e-03 3.790871575973962026e-28
1.630000000000000000e+02 4.813849484595107350e-03 4.192884440540355009e-28
1.640000000000000000e+02 4.688314661437845317e-03 4.637130117859819845e-28
1.650000000000000000e+02 4.565707263858347076e-03 5.128002709773610099e-28
1.660000000000000000e+02 4.445968936570502371e-03 5.670349002438413565e-28
1.670000000000000000e+02 4.329042220885292655e-03 6.269514631546269571e-28
1.680000000000000000e+02 4.214870547764739718e-03 6.931394906736057021e-28
1.690000000000000000e+02 4.103398230748967965e-03 7.662490760415054049e-28
1.700000000000000000e+02 3.994570458762208148e-03 8.469970332152121015e-28
1.710000000000000000e+02 3.888333288803538269e-03 9.361736750233167963e-28
1.720000000000000000e+02 3.784633638528046330e-03 1.034650272731761052e-27
1.730000000000000000e+02 3.683419278724032412e-03 1.143387264787552964e-27
1.740000000000000000e+02 3.584638825691778205e-03 1.263443289173895154e-27
1.750000000000000000e+02 3.488241733529340565e-03 1.395985121123545245e-27
1.760000000000000000e+02 3.394178286330715947e-03 1.542298605961143302e-27
1.770000000000000000e+02 3.302399590301677897e-03 1.703800685647733301e-27
1.780000000000000000e+02 3.212857565798444941e-03 1.882052627256514665e-27
1.790000000000000000e+02 3.125504939294314940e-03 2.078774572199623502e-27
1.800000000000000000e+02 3.040295235279265838e-03 2.295861536641083985e-27
1.810000000000000000e+02 2.957182768097433353e-03 2.535401006268697584e-27
1.820000000000000000e+02 2.876122633727336286e-03 2.799692282565007157e-27
1.830000000000000000e+02 2.797070701509563571e-03 3.091267753031597765e-27
1.840000000000000000e+02 2.719983605826593789e-03 3.412916274610389800e-27
1.850000000000000000e+02 2.644818737739308180e-03 3.767708877950630288e-27
1.860000000000000000e+02 2.571534236584662771e-03 4.159027020344515216e-27
1.870000000000000000e+02 2.500088981538911050e-03 4.590593637265940335e-27
1.880000000000000000e+02 2.430442583150657209e-03 5.066507266679505245e-27
1.890000000000000000e+02 2.362555374847939704e-03 5.591279546841666653e-27
1.900000000000000000e+02 2.296388404423445589e-03 6.169876417412602052e-27
